#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310415.462,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79460784207,32.04337407380,194.3846,17.3615,WGS84,1.0023,2.0420,4.6130,"",0.000,125.000,22,22,22,22,191,0,0,25*08dc5358
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310415.462,00000000,0000,1114;2253,310415.461951000,1.359335323e-08,2.442448750e-08,-18.000000000,VALID*40348543
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310416.462,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79460319588,32.04338890870,194.7701,17.3615,WGS84,1.1286,2.2992,5.1941,"",0.000,126.000,22,22,22,22,175,0,0,25*c39e4d12
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310416.462,00000000,0000,1114;2253,310416.462488840,7.390909454e-09,1.495546129e-08,-18.000000000,VALID*2bfb7372
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310417.462,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79462938438,32.04329423103,191.6286,17.3616,WGS84,0.7876,1.6045,3.6245,"",0.000,127.000,22,22,22,22,175,0,0,25*6c98c615
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310417.462,00000000,0000,1114;2253,310417.462490520,-1.655101624e-08,2.337427417e-08,-18.000000000,VALID*2277cc59
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310418.462,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465170567,32.04320492380,188.6701,17.3616,WGS84,0.3998,0.8144,1.8397,"",0.000,128.000,22,22,22,22,175,0,0,25*35dc58e1
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310418.462,00000000,0000,1114;2253,310418.461946520,-3.025332470e-08,2.169063729e-08,-18.000000000,VALID*598ff6f8
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310419.462,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465613996,32.04318385453,187.6937,17.3616,WGS84,0.3839,0.7821,1.7667,"",0.000,129.000,22,22,22,22,175,0,0,25*a0573dee
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310419.462,00000000,0000,1114;2253,310419.462482560,-2.357573983e-08,1.623442696e-08,-18.000000000,VALID*7e08dafb
$GPGGA,141322.00,5447.6797046,N,03202.5897940,E,1,22,1.3,187.0722,M,17.362,M,,*53
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310420.462,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465974740,32.04316914434,187.9659,17.3616,WGS84,0.4848,0.9875,2.2308,"",0.000,130.000,22,22,22,22,175,0,0,25*a4d95b3f
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310420.462,00000000,0000,1114;2253,310420.461925320,-1.034393443e-08,8.995588394e-09,-18.000000000,VALID*b17f2069
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310421.462,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465910259,32.04317291753,187.3485,17.3616,WGS84,0.5021,1.0228,2.3103,"",0.000,131.000,22,22,22,22,191,0,0,25*b94d093e
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310421.462,00000000,0000,1114;2253,310421.461939920,-2.304168775e-09,2.075598568e-09,-18.000000000,VALID*2488513b
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310422.463,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465607077,32.04317731397,187.9284,17.3616,WGS84,0.5719,1.1648,2.6310,"",0.000,132.000,22,22,22,22,191,0,0,25*2505d352
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310422.463,00000000,0000,1114;2253,310422.463439360,-3.171718405e-09,3.254310089e-09,-18.000000000,VALID*ffaed796
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310423.463,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465938903,32.04317033097,187.3728,17.3616,WGS84,0.5076,1.0339,2.3353,"",0.000,133.000,22,22,22,22,191,0,0,25*7d35a2cf
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310423.463,00000000,0000,1114;2253,310423.463428320,-1.238301721e-08,1.127925817e-08,-18.000000000,VALID*27b94b39
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310424.464,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465842220,32.04317010671,187.1338,17.3616,WGS84,0.5090,1.0366,2.3414,"",0.000,134.000,22,22,22,22,191,0,0,25*7b79a0c6
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310424.464,00000000,0000,1114;2253,310424.464066080,-1.008581931e-08,9.212268857e-09,-18.000000000,VALID*dbcc26cc
$GPGGA,141327.00,5447.6793103,N,03202.5916243,E,1,22,1.3,188.4216,M,17.362,M,,*5B
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310425.463,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79464749972,32.04321558335,188.4849,17.3616,WGS84,0.4008,0.8162,1.8435,"",0.000,135.000,22,22,22,22,191,0,0,25*72b589fc
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310425.463,00000000,0000,1114;2253,310425.463423480,8.105863502e-09,5.830380431e-09,-18.000000000,VALID*86f3f023
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310426.464,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79463865096,32.04324608869,189.5169,17.3616,WGS84,0.4523,0.9210,2.0802,"",0.000,136.000,22,22,22,22,191,0,0,25*1d889899
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310426.464,00000000,0000,1114;2253,310426.463987440,1.746061805e-08,1.417460984e-08,-18.000000000,VALID*600e7986
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310427.464,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79462172460,32.04330800883,191.0198,17.3615,WGS84,0.8037,1.6365,3.6963,"",0.000,137.000,22,22,22,22,175,0,0,25*bb161a3f
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310427.464,00000000,0000,1114;2253,310427.463976560,1.909549503e-08,2.754914637e-08,-18.000000000,VALID*a637d11c
